"name","address","city","zip","state","country","phone","email","website","openingHours","lat","lng","accuracy","error"
"Ridgefield Mobil","31 Danbury Rd","RIDGEFIELD","6877","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06877","","41.2897312","'-73.4980484","User provided",""
"RAK Mart","737 North Main St","NORWICH","6360","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06360","","41.542829","'-72.0534321","User provided",""
"A Plus Liquor Store","687 E Main St","WATERBURY","6708","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06708","","41.554046","'-73.028576","User provided",""
"MARANDINO SPIRITS","141 Main St","NEW HARTFORD","6057","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06057","","41.8610003","'-72.9589803","User provided",""
"The Cork Shop","317 East Main St","BRANFORD","6405","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06405","","41.2922155","'-72.7881009","User provided",""
"SAFO`S ENTERPRISES INC","161 TOLLAND TPKE","MANCHESTER","6040","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06040","","41.8129009","'-72.512404","User provided",""
"DINO`S MARKET","1226 State St","BRIDGEPORT","6605","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06605","","41.1711364","'-73.2069188","User provided",""
"Sunoco A Plus","737 West Main Street","NEW BRITAIN","6053","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06053","","41.666725","'-72.806948","User provided",""
"Your Store Deli","137 Kelsey St","NEWINGTON","6111","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06111","","41.6541684","'-72.7462916","User provided",""
"CUMBERLAND FARMS #4567","412 Laurel Hill Rd","NORWICH","6360","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06360","","41.5093489","'-72.0754031","User provided",""
"Fast Freddie`s Manchester #118","1527 Pleasant Valley Rd","MANCHESTER","6040","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06040","","41.805652","'-72.555656","User provided",""
"Arch II","632 Cromwell Ave","ROCKY HILL","6067","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06067","","41.65337","'-72.679002","User provided",""
"TOWN PLOT SUPERMARKET","286 FAIRFIELD AVE","WATERBURY","6708","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06708","","41.536032","'-73.060094","User provided",""
"81 High Mart LLC","260 RTE 80","KILLINGWORTH","6419","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06419","","41.3645651","'-72.4772619","User provided",""
"Barrys Package Store","754 E. Main St","MERIDEN","6450","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06450","","41.52954","'-72.778169","User provided",""
"DISCOUNT LIQUOR","250 Meriden Rd","WATERBURY","6705","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06705","","41.5501514","'-73.0103263","User provided",""
"DAILY MART","1660 Stafford Ave","BURLINGTON","6013","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06013","","41.7213392","'-72.9145899","User provided",""
"7-ELEVEN STORE #32514B","706 MAIN ST","MANCHESTER","6040","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06040","","41.772838","'-72.521732","User provided",""
"YE CORNER SPIRITS","273 MAIN ST","SOUTH MERIDEN","6451","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06451","","41.5198931","'-72.8359116","User provided",""
"Roma Sports Bar + Grill","382-84 Allen Street","NEW BRITAIN","6051","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06051","","41.6818796","'-72.7854017","User provided",""
"SA Cigar & Tobacco","1055 Huntington Turnpike","BRIDGEPORT","6610","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06610","","41.2225114","'-73.1683251","User provided",""
"Goldrick`s Brookside Cafe","143 Rt 2A","PRESTON","6365","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06365","","41.5017213","'-72.0357907","User provided",""
